inicio,varinicio,varfim,PT_V,ID,VIR,inteiro,real,literal,leia,escreva,LIT,NUM,ATR,OPA,se,AB_P,FC_P,entao,OPR,fimse,fim,EOF,P,V,LV,D,L,TIPO,A,ES,ARG,CMD,LD,OPRD,COND,CAB,EXP_R,CP
,,,R.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,R.14,,,,,R.14,R.14,,,,,R.14,,,,,R.14,R.14,,,,,,,,,,,,,,,,,
,,,,S.35,,,,,,,,S.36,,,,,,,,,,,,,,,,,,,,,33,34,,,,
,,,S.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,R.21,,,,,,,,,,,S.38,,,,,,,,,,,,,,,,,,,,,,,,
,,,R.22,,,,,,,,,,,R.22,,,R.22,,R.22,,,,,,,,,,,,,,,,,,,
,,,R.23,,,,,,,,,,,R.23,,,R.23,,R.23,,,,,,,,,,,,,,,,,,,
,,,,R.19,,,,,R.19,R.19,,,,,R.19,,,,,R.19,R.19,,,,,,,,,,,,,,,,,
,,,,S.35,,,,,,,,S.36,,,,,,,,,,,,,,,,,,,,,,39,,,,
,,,R.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,R.25,,,,,R.25,R.25,,,,,R.25,,,,,R.25,R.25,,,,,,,,,,,,,,,,,
,,,,S.12,,,,,S.10,S.11,,,,,S.14,,,,,S.62,,,,,,,,,,41,,42,,,43,13,,44
,,,,S.12,,,,,S.10,S.11,,,,,S.14,,,,,S.62,,,,,,,,,,41,,42,,,43,13,,45
,,,,S.12,,,,,S.10,S.11,,,,,S.14,,,,,S.62,,,,,,,,,,41,,42,,,43,13,,46
,,,,R.28,,,,,R.28,R.28,,,,,R.28,,,,,R.28,R.28,,,,,,,,,,,,,,,,,
,,,,R.29,,,,,R.29,R.29,,,,,R.29,,,,,R.29,R.29,,,,,,,,,,,,,,,,,
,,,,R.30,,,,,R.30,R.30,,,,,R.30,,,,,R.30,R.30,,,,,,,,,,,,,,,,,
,,,,S.35,,,,,,,,S.36,,,,,,,,,,,,,,,,,,,,,,51,,,48,
,,,,,,,,,,,,,,,,,S.49,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,S.50,,,,,,,,,,,,,,,,,,,,
,,,,R.26,,,,,R.26,R.26,,,,,R.26,,,,,R.26,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,S.52,,,,,,,,,,,,,,,,,,,
,,,,S.35,,,,,,,,S.36,,,,,,,,,,,,,,,,,,,,,,53,,,,
,,,,,,,,,,,,,,,,,R.27,,,,,,,,,,,,,,,,,,,,,
,,,,R.4,,,,,R.4,R.4,,,,,R.4,,,,,,R.4,,,,,,,,,,,,,,,,,
,,,S.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,R.5,,,,,R.5,R.5,,,,,R.5,,,,,,R.5,,,,,,,,,,,,,,,,,
,,,S.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,R.6,,,,R.6,R.6,R.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,R.8,,S.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S.59,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,
,,,R.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,R.31,,,,,R.31,R.31,,,,,R.31,,,,,R.31,R.31,,,,,,,,,,,,,,,,,
